dataset_name,LinearModel__absperf,RandomForest__absperf,XGBoost__absperf,rtdl_FTTransformer__absperf,rtdl_MLP__absperf,rtdl_ResNet__absperf
openml__Amazon_employee_access__34539,1.0,1.0,1.0,1.0,1.0,1.0
openml__Australian__146818,1.0,1.0,0.0,0.0,1.0,0.0
openml__GesturePhaseSegmentationProcessed__14969,0.0,0.0,0.0,0.0,0.0,0.0
openml__JapaneseVowels__3510,1.0,0.0,1.0,1.0,1.0,1.0
openml__LED-display-domain-7digit__125921,0.0,0.0,0.0,0.0,0.0,0.0
openml__MagicTelescope__3954,0.0,0.0,1.0,1.0,1.0,1.0
openml__MiceProtein__146800,1.0,1.0,1.0,0.0,0.0,1.0
openml__PhishingWebsites__14952,1.0,1.0,1.0,1.0,1.0,1.0
openml__Satellite__167211,1.0,1.0,1.0,1.0,1.0,1.0
openml__SpeedDating__146607,1.0,1.0,0.0,1.0,1.0,1.0
openml__acute-inflammations__10089,1.0,1.0,1.0,1.0,1.0,1.0
openml__ada_agnostic__3896,1.0,0.0,0.0,1.0,1.0,0.0
openml__adult-census__3953,0.0,1.0,1.0,0.0,1.0,0.0
openml__adult__7592,0.0,1.0,1.0,0.0,1.0,0.0
openml__airlines__189354,0.0,0.0,0.0,0.0,0.0,0.0
openml__analcatdata_authorship__3549,1.0,1.0,1.0,1.0,1.0,1.0
openml__analcatdata_boxing1__3540,0.0,0.0,0.0,0.0,0.0,0.0
openml__analcatdata_chlamydia__3739,1.0,1.0,1.0,1.0,1.0,1.0
openml__analcatdata_dmft__3560,0.0,0.0,0.0,0.0,0.0,0.0
openml__anneal__2867,0.0,1.0,1.0,0.0,0.0,1.0
openml__arrhythmia__5,0.0,0.0,0.0,0.0,0.0,0.0
openml__artificial-characters__14964,0.0,0.0,0.0,0.0,0.0,0.0
openml__audiology__7,0.0,0.0,0.0,0.0,0.0,0.0
openml__autos__9,0.0,0.0,0.0,0.0,0.0,0.0
openml__balance-scale__11,1.0,0.0,0.0,1.0,1.0,1.0
openml__bank-marketing__14965,1.0,1.0,1.0,1.0,1.0,1.0
openml__bank-marketing__9899,1.0,1.0,1.0,1.0,1.0,1.0
openml__banknote-authentication__10093,1.0,1.0,1.0,1.0,1.0,1.0
openml__blood-transfusion-service-center__10101,0.0,0.0,0.0,0.0,0.0,0.0
openml__breast-cancer__145799,0.0,0.0,0.0,0.0,0.0,0.0
openml__breast-w__15,1.0,1.0,1.0,1.0,1.0,1.0
openml__car-evaluation__146192,1.0,1.0,1.0,0.0,0.0,1.0
openml__car__146821,0.0,0.0,1.0,0.0,0.0,1.0
openml__chess__3952,0.0,0.0,0.0,0.0,0.0,0.0
openml__churn__167141,1.0,1.0,1.0,1.0,1.0,1.0
openml__cjs__14967,0.0,0.0,1.0,1.0,1.0,1.0
openml__climate-model-simulation-crashes__146819,1.0,1.0,1.0,1.0,1.0,1.0
openml__cmc__23,0.0,0.0,0.0,0.0,0.0,0.0
openml__colic__25,1.0,1.0,0.0,1.0,0.0,0.0
openml__colic__27,1.0,1.0,0.0,0.0,1.0,0.0
openml__collins__3567,0.0,0.0,1.0,1.0,0.0,1.0
openml__connect-4__146195,0.0,0.0,0.0,0.0,0.0,0.0
openml__credit-approval__29,1.0,1.0,0.0,1.0,1.0,1.0
openml__credit-g__31,0.0,0.0,0.0,0.0,0.0,0.0
openml__cylinder-bands__14954,0.0,0.0,0.0,0.0,0.0,0.0
openml__dermatology__35,1.0,1.0,1.0,1.0,1.0,1.0
openml__diabetes__37,0.0,0.0,0.0,0.0,0.0,0.0
openml__dna__167140,1.0,1.0,1.0,1.0,1.0,1.0
openml__dresses-sales__125920,0.0,0.0,0.0,0.0,0.0,0.0
openml__ecoli__145977,0.0,1.0,0.0,0.0,0.0,0.0
openml__eeg-eye-state__14951,0.0,0.0,0.0,0.0,0.0,0.0
openml__electricity__219,0.0,0.0,0.0,0.0,1.0,0.0
openml__elevators__3711,0.0,0.0,1.0,0.0,0.0,0.0
openml__eucalyptus__2079,0.0,0.0,0.0,0.0,0.0,0.0
openml__eye_movements__3897,0.0,0.0,0.0,0.0,0.0,0.0
openml__fertility__9984,1.0,1.0,0.0,1.0,1.0,0.0
openml__first-order-theorem-proving__9985,0.0,0.0,0.0,0.0,0.0,0.0
openml__fl2000__3566,0.0,0.0,0.0,0.0,0.0,0.0
openml__fri_c0_100_5__3620,1.0,1.0,0.0,0.0,1.0,1.0
openml__fri_c3_100_5__3779,0.0,0.0,0.0,1.0,1.0,0.0
openml__gas-drift-different-concentrations__9987,1.0,1.0,1.0,1.0,0.0,1.0
openml__gas-drift__9986,1.0,1.0,1.0,1.0,0.0,1.0
openml__glass__40,0.0,0.0,0.0,0.0,0.0,0.0
openml__hayes-roth__146063,0.0,0.0,0.0,0.0,0.0,0.0
openml__heart-c__48,1.0,0.0,0.0,1.0,0.0,0.0
openml__heart-h__50,0.0,0.0,0.0,0.0,0.0,0.0
openml__hepatitis__54,1.0,1.0,0.0,0.0,0.0,1.0
openml__higgs__146606,0.0,0.0,0.0,0.0,0.0,0.0
openml__house_16H__3686,0.0,1.0,1.0,0.0,0.0,0.0
openml__ilpd__9971,0.0,0.0,0.0,0.0,0.0,0.0
openml__ionosphere__145984,1.0,1.0,1.0,1.0,1.0,1.0
openml__iris__59,1.0,1.0,1.0,1.0,1.0,1.0
openml__irish__3543,0.0,1.0,1.0,1.0,1.0,1.0
openml__jasmine__168911,0.0,0.0,0.0,0.0,0.0,0.0
openml__jm1__3904,0.0,0.0,0.0,0.0,1.0,0.0
openml__kc1__3917,1.0,1.0,0.0,1.0,1.0,0.0
openml__kc2__3913,1.0,0.0,0.0,0.0,0.0,0.0
openml__kr-vs-kp__3,1.0,1.0,1.0,1.0,1.0,1.0
openml__labor__4,1.0,1.0,1.0,1.0,1.0,1.0
openml__letter__6,0.0,0.0,1.0,1.0,1.0,1.0
openml__libras__360948,0.0,0.0,0.0,0.0,0.0,0.0
openml__lung-cancer__146024,0.0,0.0,0.0,0.0,0.0,0.0
openml__lymph__10,0.0,0.0,0.0,0.0,0.0,0.0
openml__mfeat-factors__12,1.0,1.0,1.0,1.0,0.0,1.0
openml__mfeat-fourier__14,1.0,0.0,0.0,0.0,0.0,0.0
openml__mfeat-karhunen__16,1.0,1.0,1.0,1.0,1.0,1.0
openml__mfeat-morphological__18,0.0,0.0,0.0,0.0,0.0,0.0
openml__mfeat-zernike__22,1.0,0.0,0.0,0.0,1.0,0.0
openml__monks-problems-2__146065,0.0,0.0,1.0,1.0,1.0,1.0
openml__mushroom__24,1.0,1.0,1.0,1.0,1.0,1.0
openml__musk__3950,1.0,1.0,1.0,1.0,1.0,1.0
openml__nursery__9892,1.0,1.0,1.0,1.0,1.0,1.0
openml__one-hundred-plants-texture__9956,0.0,0.0,0.0,0.0,0.0,0.0
openml__optdigits__28,1.0,1.0,1.0,1.0,1.0,1.0
openml__ozone-level-8hr__9978,1.0,1.0,1.0,1.0,1.0,0.0
openml__page-blocks__30,1.0,1.0,1.0,1.0,1.0,1.0
openml__pc1__3918,1.0,1.0,1.0,1.0,1.0,1.0
openml__pc3__3903,1.0,1.0,1.0,1.0,1.0,1.0
openml__pc4__3902,1.0,1.0,1.0,1.0,1.0,1.0
openml__pendigits__32,1.0,1.0,1.0,1.0,1.0,1.0
openml__phoneme__9952,0.0,0.0,1.0,1.0,1.0,0.0
openml__pollen__3735,0.0,0.0,0.0,0.0,0.0,0.0
openml__postoperative-patient-data__146210,0.0,0.0,0.0,0.0,0.0,0.0
openml__primary-tumor__146032,0.0,0.0,0.0,0.0,0.0,0.0
openml__profb__3561,0.0,0.0,0.0,0.0,0.0,0.0
openml__qsar-biodeg__9957,1.0,1.0,0.0,1.0,1.0,1.0
openml__rabe_266__3647,1.0,1.0,1.0,1.0,1.0,1.0
openml__satimage__2074,1.0,1.0,1.0,1.0,1.0,1.0
openml__scene__3485,1.0,1.0,1.0,1.0,1.0,1.0
openml__segment__146822,1.0,1.0,1.0,1.0,0.0,1.0
openml__semeion__9964,1.0,1.0,1.0,1.0,1.0,1.0
openml__shuttle__146212,1.0,1.0,1.0,1.0,0.0,1.0
openml__sick__3021,1.0,1.0,1.0,1.0,1.0,1.0
openml__skin-segmentation__9965,1.0,1.0,1.0,1.0,1.0,1.0
openml__socmob__3797,1.0,1.0,1.0,1.0,1.0,1.0
openml__solar-flare__2068,1.0,1.0,1.0,1.0,1.0,1.0
openml__sonar__39,0.0,0.0,0.0,0.0,1.0,1.0
openml__soybean__41,1.0,1.0,1.0,1.0,0.0,1.0
openml__spambase__43,1.0,1.0,1.0,1.0,1.0,1.0
openml__splice__45,1.0,1.0,1.0,1.0,1.0,1.0
openml__synthetic_control__3512,1.0,1.0,1.0,1.0,0.0,1.0
openml__tae__47,0.0,0.0,0.0,0.0,0.0,0.0
openml__texture__125922,1.0,1.0,1.0,1.0,1.0,1.0
openml__tic-tac-toe__49,0.0,1.0,1.0,1.0,1.0,1.0
openml__transplant__3748,1.0,1.0,1.0,1.0,0.0,1.0
openml__vehicle__53,0.0,0.0,0.0,0.0,0.0,0.0
openml__visualizing_environmental__3602,0.0,0.0,0.0,0.0,0.0,0.0
openml__visualizing_livestock__3731,0.0,0.0,0.0,0.0,0.0,0.0
openml__vowel__3022,0.0,0.0,1.0,1.0,1.0,1.0
openml__walking-activity__9945,0.0,0.0,0.0,0.0,0.0,0.0
openml__wall-robot-navigation__9960,0.0,1.0,1.0,0.0,1.0,1.0
openml__wdbc__9946,1.0,1.0,1.0,1.0,1.0,1.0
openml__wilt__146820,1.0,1.0,1.0,1.0,1.0,1.0
openml__yeast__145793,0.0,0.0,0.0,0.0,0.0,0.0
